"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000240731" 76 37 74 80 115 85 54 108 61 77 131 37 92 55 79 52 54 102 157 56
"ENSG00000224051" 4318 1820 3887 1935 3947 4620 2476 3251 2077 3511 5398 3349 3053 2342 2028 3595 3466 2857 5324 3120
"ENSG00000169962" 261 28 85 50 58 70 34 70 53 55 100 120 60 54 98 68 108 38 70 99
"ENSG00000107404" 4500 2417 4291 3234 4780 4775 3041 6547 3546 3200 5899 4124 3744 2579 2873 2827 3229 3330 4656 3017
"ENSG00000162576" 738 507 1503 848 921 1228 696 350 329 929 1131 590 723 832 327 725 671 618 876 2065
"ENSG00000175756" 3587 2257 3751 3238 5005 4603 2420 5552 4052 3127 5209 3224 3023 3978 4460 3879 3956 3988 5181 2473
"ENSG00000223663" 3 3 0 8 10 11 3 10 5 6 4 13 3 3 4 2 5 5 2 10
"ENSG00000221978" 15288 8790 15028 15583 29511 22418 15717 14916 22993 12976 25818 12583 19259 11792 24645 14923 12414 12829 16530 12725
"ENSG00000224870" 1791 870 1472 520 1864 1994 890 1786 312 1434 2724 2385 1957 975 1366 1153 803 758 1013 942
"ENSG00000242485" 1548 1271 1973 1102 2355 2257 1194 2829 1756 2062 2218 1219 1775 1558 2885 1951 2235 1643 3010 962
"ENSG00000272455" 249 90 124 41 130 206 229 135 22 129 127 453 220 43 139 51 76 23 91 180
"ENSG00000235098" 77 29 61 50 72 77 53 19 58 85 85 35 48 267 39 41 64 13 75 107
"ENSG00000225905" 3 0 1 1 2 4 0 0 2 3 1 3 4 1 1 1 1 1 3 4
"ENSG00000205116" 2 0 6 4 3 3 3 2 2 3 7 7 10 7 4 2 2 1 6 6
"ENSG00000225285" 24 17 21 19 49 30 39 106 54 30 27 37 118 38 65 80 76 41 81 34
"ENSG00000179403" 3034 3300 7903 1885 2872 2984 2451 12548 9984 5047 3525 8603 4592 3981 10442 8743 8122 2327 11542 4277
"ENSG00000215915" 344 499 314 305 300 1767 380 350 1648 1385 726 529 1379 348 691 747 206 613 738 497
"ENSG00000160072" 1042 575 1127 1235 1145 1634 777 1802 2145 1232 1359 1078 1229 837 1596 1575 1095 889 2631 437
"ENSG00000197785" 1212 531 1181 1068 1195 2398 895 2606 2163 1136 1357 1218 1253 989 1728 1534 1076 1389 2508 1090
"ENSG00000205090" 14 5 17 20 7 13 17 8 8 21 31 18 13 9 3 13 6 20 6 23
"ENSG00000160075" 3056 1744 2893 1825 2459 3351 2492 4076 2598 3491 3796 2837 2482 2342 2366 3177 3135 2313 4346 2257
"ENSG00000215014" 19 13 10 5 18 17 13 32 20 11 7 18 9 5 21 11 8 8 31 6
"ENSG00000228594" 9 22 51 19 28 30 39 53 2 27 17 24 13 27 12 12 31 37 35 58
"ENSG00000272106" 309 209 241 78 324 394 273 127 115 217 279 361 329 197 202 208 168 232 186 296
"ENSG00000197530" 2882 1919 1859 3601 3560 3880 1706 1565 956 2392 3798 2811 2859 2258 795 2459 1840 2747 2752 1966
"ENSG00000189409" 19 18 10 58 34 25 14 8 13 28 29 30 8 19 9 12 15 20 6 59
"ENSG00000248333" 743 615 1116 835 931 1098 547 1572 758 822 1191 619 912 670 1024 810 913 948 1535 626
"ENSG00000272004" 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 3 0
"ENSG00000189339" 1863 1057 1802 1899 3298 1842 1708 1378 526 1611 2207 715 2115 1516 1553 1590 1462 1849 1489 1394
"ENSG00000269737" 43 30 49 24 194 26 26 12 4 25 63 17 18 57 46 18 18 56 58 17
"ENSG00000269227" 10 8 17 5 34 1 4 5 5 3 10 4 5 17 5 0 8 9 5 6
"ENSG00000215914" 31 18 1 19 24 32 6 8 0 33 57 28 33 3 15 24 39 37 55 4
"ENSG00000008128" 1076 788 1625 1485 1933 1110 963 1388 642 1007 1927 847 1261 866 1376 1274 1156 1139 1639 791
"ENSG00000227775" 155 74 91 105 384 171 210 42 24 229 373 85 127 162 108 70 182 84 214 136
"ENSG00000215790" 64 45 97 58 109 64 83 64 26 61 139 43 68 46 71 66 71 67 69 47
"ENSG00000008130" 5296 4498 8202 2915 5290 7251 5773 9490 8479 9061 8958 7159 9625 4422 5632 7557 6290 3953 21021 4191
"ENSG00000078369" 4743 4417 9394 2635 5564 4851 4725 13910 6794 5741 8484 3834 4852 3359 4255 5733 5559 4520 10285 6833
"ENSG00000231050" 8 2 3 6 54 19 18 1 0 3 3 7 8 11 0 8 9 7 16 4
"ENSG00000169885" 212 54 32 97 202 220 146 35 10 84 147 132 146 112 10 133 71 160 14 18
"ENSG00000178821" 694 182 244 217 735 461 318 114 100 230 298 448 212 234 139 168 339 319 58 177
"ENSG00000142609" 13 55 148 108 1240 812 288 0 51 67 18 335 84 93 28 21 170 30 10 58
"ENSG00000233542" 1 3 0 1 0 0 0 0 0 0 4 6 0 2 0 1 0 2 0 0
"ENSG00000187730" 0 5 6 8 7 3 12 13 6 7 4 7 2 10 5 5 13 4 12 21
"ENSG00000226969" 2 0 1 3 2 2 0 0 2 0 5 0 2 1 1 2 0 1 0 2
"ENSG00000067606" 800 437 588 279 850 655 457 644 126 525 780 348 500 295 325 317 423 518 599 363
"ENSG00000271806" 18 4 6 9 69 26 7 4 0 10 20 2 10 13 11 2 28 8 22 5
"ENSG00000182873" 515 94 177 377 476 265 282 126 41 350 616 117 325 123 227 227 134 241 303 137
"ENSG00000162585" 1307 643 993 1287 2208 1975 1024 695 832 1057 2211 1423 1018 1244 912 1188 1489 1336 1545 1152
"ENSG00000234396" 9 10 3 3 53 20 10 0 1 8 21 7 3 4 2 1 5 11 1 2
"ENSG00000157933" 3106 2033 3873 1701 4396 2794 2665 6818 8726 3268 5035 6252 2530 1934 2039 2124 2131 2230 6722 3211
"ENSG00000116151" 153 121 59 115 164 191 115 120 30 162 161 157 211 168 90 101 52 103 79 62
"ENSG00000272161" 0 4 0 3 6 6 4 2 0 4 1 4 9 3 0 7 0 1 4 0
"ENSG00000269896" 90 32 40 42 105 53 50 89 7 65 95 64 101 70 63 56 40 33 49 35
"ENSG00000272420" 9 1 7 31 60 50 27 6 8 24 43 28 30 15 23 34 23 30 14 36
"ENSG00000157916" 6444 4147 9812 3988 8463 8988 6087 11615 5842 7470 9962 5738 6641 5927 6321 7681 6795 6025 8184 5452
"ENSG00000157911" 947 493 544 183 1045 1963 867 465 290 411 623 664 355 509 483 335 344 317 618 573
"ENSG00000149527" 835 538 1802 402 505 3586 1565 423 908 654 1298 1083 872 295 416 2452 544 757 707 2085
"ENSG00000224387" 7 5 22 4 3 23 5 1 0 0 5 6 3 2 4 8 4 2 2 7
"ENSG00000229393" 9 4 8 3 0 10 14 5 3 0 14 11 1 0 13 10 2 9 4 3
"ENSG00000157881" 794 655 1126 686 1271 833 574 921 946 755 1295 626 1060 727 979 825 907 717 1091 546
"ENSG00000197921" 4 6 5 2 8 9 4 8 9 8 4 8 10 12 4 8 14 11 26 0
